lineID,timestamp,level,service,response_time_ms,memory_usage_mb,thread_count
801,2025-07-01 13:20:00,ERROR,PaymentAPI,1227,699,46
802,2025-07-01 13:21:00,DEBUG,AuthService,87,158,4
803,2025-07-01 13:22:00,DEBUG,OrderProcessor,70,160,3
804,2025-07-01 13:23:00,DEBUG,UserService,82,163,4
805,2025-07-01 13:24:00,DEBUG,AuthService,72,159,4
806,2025-07-01 13:25:00,INFO,UserService,83,159,4
807,2025-07-01 13:26:00,DEBUG,UserService,83,165,5
808,2025-07-01 13:27:00,INFO,PaymentAPI,87,165,4
809,2025-07-01 13:28:00,INFO,PaymentAPI,78,166,4
810,2025-07-01 13:29:00,DEBUG,UserService,87,160,4
811,2025-07-01 13:30:00,DEBUG,AuthService,81,159,4
812,2025-07-01 13:31:00,DEBUG,OrderProcessor,70,159,4
813,2025-07-01 13:32:00,DEBUG,AuthService,81,157,4
814,2025-07-01 13:33:00,INFO,OrderProcessor,83,158,4
815,2025-07-01 13:34:00,DEBUG,PaymentAPI,84,162,4
816,2025-07-01 13:35:00,INFO,OrderProcessor,82,155,4
817,2025-07-01 13:36:00,DEBUG,AuthService,76,163,4
818,2025-07-01 13:37:00,INFO,OrderProcessor,78,163,4
819,2025-07-01 13:38:00,ERROR,UserService,93,162,4
820,2025-07-01 13:39:00,INFO,AuthService,72,157,4
821,2025-07-01 13:40:00,INFO,AuthService,84,157,4
822,2025-07-01 13:41:00,DEBUG,UserService,85,156,4
823,2025-07-01 13:42:00,DEBUG,PaymentAPI,79,163,4
824,2025-07-01 13:43:00,INFO,AuthService,76,159,3
825,2025-07-01 13:44:00,INFO,OrderProcessor,86,170,4
826,2025-07-01 13:45:00,INFO,UserService,65,162,4
827,2025-07-01 13:46:00,WARN,UserService,71,164,4
828,2025-07-01 13:47:00,DEBUG,UserService,87,151,3
829,2025-07-01 13:48:00,DEBUG,OrderProcessor,82,159,4
830,2025-07-01 13:49:00,WARN,AuthService,96,173,4
831,2025-07-01 13:50:00,DEBUG,AuthService,104,175,5
832,2025-07-01 13:51:00,WARN,PaymentAPI,105,185,5
833,2025-07-01 13:52:00,DEBUG,PaymentAPI,122,195,6
834,2025-07-01 13:53:00,WARN,PaymentAPI,159,214,9
835,2025-07-01 13:54:00,WARN,AuthService,197,242,10
836,2025-07-01 13:55:00,INFO,PaymentAPI,264,295,13
837,2025-07-01 13:56:00,WARN,PaymentAPI,360,377,18
838,2025-07-01 13:57:00,WARN,UserService,501,487,26
839,2025-07-01 13:58:00,INFO,OrderProcessor,725,651,37
840,2025-07-01 13:59:00,WARN,OrderProcessor,1064,908,54
841,2025-07-01 14:00:00,ERROR,UserService,1065,905,55
842,2025-07-01 14:01:00,INFO,AuthService,76,156,4
843,2025-07-01 14:02:00,DEBUG,PaymentAPI,72,158,4
844,2025-07-01 14:03:00,DEBUG,OrderProcessor,90,161,4
845,2025-07-01 14:04:00,INFO,AuthService,77,162,4
846,2025-07-01 14:05:00,DEBUG,UserService,92,157,4
847,2025-07-01 14:06:00,DEBUG,PaymentAPI,72,163,4
848,2025-07-01 14:07:00,DEBUG,OrderProcessor,82,158,4
849,2025-07-01 14:08:00,WARN,OrderProcessor,76,160,4
850,2025-07-01 14:09:00,DEBUG,OrderProcessor,86,160,4
851,2025-07-01 14:10:00,DEBUG,OrderProcessor,73,152,4
852,2025-07-01 14:11:00,INFO,AuthService,74,161,4
853,2025-07-01 14:12:00,DEBUG,AuthService,73,156,4
854,2025-07-01 14:13:00,DEBUG,AuthService,68,161,4
855,2025-07-01 14:14:00,DEBUG,AuthService,72,156,4
856,2025-07-01 14:15:00,INFO,UserService,86,163,4
857,2025-07-01 14:16:00,DEBUG,OrderProcessor,85,159,4
858,2025-07-01 14:17:00,INFO,OrderProcessor,82,156,4
859,2025-07-01 14:18:00,DEBUG,UserService,75,159,4
860,2025-07-01 14:19:00,DEBUG,UserService,86,154,4
861,2025-07-01 14:20:00,INFO,PaymentAPI,70,164,4
862,2025-07-01 14:21:00,DEBUG,PaymentAPI,85,157,4
863,2025-07-01 14:22:00,INFO,UserService,72,155,4
864,2025-07-01 14:23:00,DEBUG,OrderProcessor,80,160,4
865,2025-07-01 14:24:00,DEBUG,UserService,73,160,4
866,2025-07-01 14:25:00,DEBUG,OrderProcessor,75,159,4
867,2025-07-01 14:26:00,DEBUG,UserService,73,161,4
868,2025-07-01 14:27:00,INFO,PaymentAPI,82,152,3
869,2025-07-01 14:28:00,DEBUG,UserService,86,161,4
870,2025-07-01 14:29:00,WARN,AuthService,83,171,4
871,2025-07-01 14:30:00,INFO,UserService,94,177,5
872,2025-07-01 14:31:00,DEBUG,AuthService,110,179,6
873,2025-07-01 14:32:00,INFO,PaymentAPI,121,200,6
874,2025-07-01 14:33:00,INFO,AuthService,130,215,7
875,2025-07-01 14:34:00,DEBUG,UserService,166,247,8
876,2025-07-01 14:35:00,WARN,OrderProcessor,209,284,10
877,2025-07-01 14:36:00,WARN,OrderProcessor,273,364,13
878,2025-07-01 14:37:00,WARN,OrderProcessor,391,465,18
879,2025-07-01 14:38:00,WARN,OrderProcessor,554,634,25
880,2025-07-01 14:39:00,INFO,UserService,797,876,36
881,2025-07-01 14:40:00,ERROR,UserService,810,867,38
882,2025-07-01 14:41:00,WARN,UserService,79,163,4
883,2025-07-01 14:42:00,INFO,OrderProcessor,78,164,4
884,2025-07-01 14:43:00,DEBUG,OrderProcessor,75,159,5
885,2025-07-01 14:44:00,INFO,UserService,85,155,4
886,2025-07-01 14:45:00,DEBUG,PaymentAPI,78,159,4
887,2025-07-01 14:46:00,INFO,OrderProcessor,75,160,4
888,2025-07-01 14:47:00,INFO,AuthService,85,166,4
889,2025-07-01 14:48:00,INFO,OrderProcessor,79,164,4
890,2025-07-01 14:49:00,INFO,AuthService,71,160,4
891,2025-07-01 14:50:00,INFO,PaymentAPI,69,161,3
892,2025-07-01 14:51:00,WARN,UserService,85,162,4
893,2025-07-01 14:52:00,DEBUG,PaymentAPI,82,163,4
894,2025-07-01 14:53:00,INFO,OrderProcessor,78,158,4
895,2025-07-01 14:54:00,DEBUG,UserService,81,157,4
896,2025-07-01 14:55:00,DEBUG,AuthService,87,163,4
897,2025-07-01 14:56:00,DEBUG,AuthService,70,154,4
898,2025-07-01 14:57:00,DEBUG,PaymentAPI,82,161,4
899,2025-07-01 14:58:00,DEBUG,UserService,84,160,4
900,2025-07-01 14:59:00,DEBUG,OrderProcessor,81,165,4
901,2025-07-01 15:00:00,INFO,AuthService,79,164,4
902,2025-07-01 15:01:00,WARN,PaymentAPI,79,161,3
903,2025-07-01 15:02:00,DEBUG,OrderProcessor,77,169,4
904,2025-07-01 15:03:00,INFO,UserService,86,162,4
905,2025-07-01 15:04:00,INFO,AuthService,85,160,4
906,2025-07-01 15:05:00,INFO,PaymentAPI,84,162,4
907,2025-07-01 15:06:00,INFO,UserService,82,163,4
908,2025-07-01 15:07:00,INFO,UserService,89,161,4
909,2025-07-01 15:08:00,DEBUG,AuthService,83,169,4
910,2025-07-01 15:09:00,DEBUG,OrderProcessor,87,169,4
911,2025-07-01 15:10:00,DEBUG,PaymentAPI,100,168,5
912,2025-07-01 15:11:00,WARN,AuthService,118,177,6
913,2025-07-01 15:12:00,DEBUG,AuthService,142,188,7
914,2025-07-01 15:13:00,DEBUG,UserService,168,200,8
915,2025-07-01 15:14:00,DEBUG,OrderProcessor,237,232,10
916,2025-07-01 15:15:00,WARN,UserService,317,263,13
917,2025-07-01 15:16:00,WARN,AuthService,437,315,18
918,2025-07-01 15:17:00,INFO,OrderProcessor,639,401,25
919,2025-07-01 15:18:00,WARN,UserService,929,528,36
920,2025-07-01 15:19:00,WARN,PaymentAPI,1376,716,52
921,2025-07-01 15:20:00,ERROR,AuthService,1362,722,52
922,2025-07-01 15:21:00,DEBUG,PaymentAPI,73,161,4
923,2025-07-01 15:22:00,DEBUG,UserService,94,154,4
924,2025-07-01 15:23:00,DEBUG,OrderProcessor,75,161,4
925,2025-07-01 15:24:00,INFO,PaymentAPI,90,158,4
926,2025-07-01 15:25:00,INFO,UserService,85,163,4
927,2025-07-01 15:26:00,WARN,UserService,90,162,4
928,2025-07-01 15:27:00,DEBUG,AuthService,73,160,4
929,2025-07-01 15:28:00,DEBUG,UserService,88,157,4
930,2025-07-01 15:29:00,DEBUG,UserService,83,165,5
931,2025-07-01 15:30:00,DEBUG,PaymentAPI,67,149,4
