lineID,timestamp,level,service,response_time_ms,memory_usage_mb,thread_count
401,2025-07-01 06:40:00,ERROR,OrderProcessor,1355,906,24
402,2025-07-01 06:41:00,DEBUG,OrderProcessor,77,157,4
403,2025-07-01 06:42:00,INFO,OrderProcessor,78,157,4
404,2025-07-01 06:43:00,INFO,AuthService,79,155,4
405,2025-07-01 06:44:00,DEBUG,UserService,82,158,4
406,2025-07-01 06:45:00,INFO,PaymentAPI,78,162,4
407,2025-07-01 06:46:00,INFO,UserService,82,164,3
408,2025-07-01 06:47:00,DEBUG,AuthService,83,160,3
409,2025-07-01 06:48:00,DEBUG,PaymentAPI,74,157,4
410,2025-07-01 06:49:00,DEBUG,PaymentAPI,80,156,4
411,2025-07-01 06:50:00,DEBUG,PaymentAPI,77,165,4
412,2025-07-01 06:51:00,DEBUG,AuthService,78,160,4
413,2025-07-01 06:52:00,DEBUG,AuthService,82,159,4
414,2025-07-01 06:53:00,DEBUG,UserService,82,156,4
415,2025-07-01 06:54:00,WARN,AuthService,84,155,4
416,2025-07-01 06:55:00,INFO,AuthService,85,164,4
417,2025-07-01 06:56:00,INFO,PaymentAPI,89,162,4
418,2025-07-01 06:57:00,INFO,PaymentAPI,83,159,4
419,2025-07-01 06:58:00,INFO,AuthService,77,165,4
420,2025-07-01 06:59:00,DEBUG,PaymentAPI,83,161,4
421,2025-07-01 07:00:00,DEBUG,PaymentAPI,88,162,4
422,2025-07-01 07:01:00,INFO,AuthService,75,155,4
423,2025-07-01 07:02:00,DEBUG,PaymentAPI,91,156,4
424,2025-07-01 07:03:00,DEBUG,OrderProcessor,81,164,4
425,2025-07-01 07:04:00,DEBUG,AuthService,79,168,4
426,2025-07-01 07:05:00,INFO,PaymentAPI,81,161,4
427,2025-07-01 07:06:00,INFO,PaymentAPI,76,170,4
428,2025-07-01 07:07:00,DEBUG,PaymentAPI,80,160,4
429,2025-07-01 07:08:00,DEBUG,OrderProcessor,82,159,4
430,2025-07-01 07:09:00,ERROR,PaymentAPI,108,171,4
431,2025-07-01 07:10:00,INFO,OrderProcessor,107,180,5
432,2025-07-01 07:11:00,INFO,AuthService,112,189,5
433,2025-07-01 07:12:00,INFO,AuthService,144,204,7
434,2025-07-01 07:13:00,INFO,PaymentAPI,184,224,6
435,2025-07-01 07:14:00,DEBUG,UserService,247,257,9
436,2025-07-01 07:15:00,WARN,UserService,302,300,11
437,2025-07-01 07:16:00,INFO,PaymentAPI,458,379,16
438,2025-07-01 07:17:00,WARN,AuthService,639,496,22
439,2025-07-01 07:18:00,INFO,AuthService,931,678,32
440,2025-07-01 07:19:00,WARN,OrderProcessor,1379,944,47
441,2025-07-01 07:20:00,ERROR,OrderProcessor,1381,944,46
442,2025-07-01 07:21:00,INFO,OrderProcessor,74,162,4
443,2025-07-01 07:22:00,DEBUG,PaymentAPI,89,163,4
444,2025-07-01 07:23:00,INFO,AuthService,83,156,4
445,2025-07-01 07:24:00,WARN,PaymentAPI,84,152,5
446,2025-07-01 07:25:00,DEBUG,UserService,84,163,3
447,2025-07-01 07:26:00,INFO,UserService,82,158,3
448,2025-07-01 07:27:00,DEBUG,OrderProcessor,78,156,4
449,2025-07-01 07:28:00,WARN,OrderProcessor,89,163,4
450,2025-07-01 07:29:00,INFO,UserService,73,155,4
451,2025-07-01 07:30:00,DEBUG,PaymentAPI,84,162,4
452,2025-07-01 07:31:00,INFO,UserService,86,160,4
453,2025-07-01 07:32:00,INFO,PaymentAPI,78,162,4
454,2025-07-01 07:33:00,DEBUG,UserService,81,160,4
455,2025-07-01 07:34:00,DEBUG,AuthService,76,156,4
456,2025-07-01 07:35:00,INFO,PaymentAPI,86,158,4
457,2025-07-01 07:36:00,INFO,PaymentAPI,85,155,4
458,2025-07-01 07:37:00,INFO,PaymentAPI,82,163,4
459,2025-07-01 07:38:00,INFO,UserService,83,156,4
460,2025-07-01 07:39:00,WARN,PaymentAPI,90,159,4
461,2025-07-01 07:40:00,DEBUG,UserService,82,157,3
462,2025-07-01 07:41:00,DEBUG,UserService,76,162,5
463,2025-07-01 07:42:00,DEBUG,PaymentAPI,80,157,4
464,2025-07-01 07:43:00,DEBUG,OrderProcessor,80,163,4
